IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand
1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,182824,2020-03-10T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,2,0,182825,2020-03-15T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,182826,2020-03-16T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,182827,2020-03-18T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,2,0,182828,2020-03-19T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A35-A59,W,1,0,182829,2020-03-18T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A35-A59,W,1,0,182830,2020-03-19T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A60-A79,M,1,0,182831,2020-03-21T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A60-A79,W,1,0,182832,2020-03-19T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A05-A14,W,1,0,182833,2020-03-13T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,182834,2020-03-14T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,182835,2020-03-17T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,182836,2020-03-18T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,2,0,182837,2020-03-19T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,2,0,182838,2020-03-20T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,182839,2020-03-21T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,182840,2020-03-09T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,182841,2020-03-12T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,182842,2020-03-14T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,182843,2020-03-17T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,2,0,182844,2020-03-19T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,182845,2020-03-20T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,182846,2020-03-21T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,182847,2020-03-22T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,182848,2020-03-03T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,182849,2020-03-11T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,182850,2020-03-12T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,182851,2020-03-13T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,182852,2020-03-14T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,182853,2020-03-15T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,182854,2020-03-16T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,4,0,182855,2020-03-17T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,2,0,182856,2020-03-18T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,4,0,182857,2020-03-19T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,5,0,182858,2020-03-20T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,182859,2020-03-21T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,182860,2020-03-13T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,182861,2020-03-14T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,182862,2020-03-15T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,182863,2020-03-16T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,182864,2020-03-17T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,182865,2020-03-18T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,182866,2020-03-20T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A35-A59,W,3,0,182867,2020-03-21T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A60-A79,M,2,0,182868,2020-03-11T00:00:00.000Z,01056,24.03.2020 00:00
1,Schleswig-Holstein,LK Pinneberg,A60-A79,M,2,0,182869,2020-03-20T00:00:00.000Z,01056,24.03.2020 00:00
